id,title,rating,year,actors_tsne_1,actors_tsne_2,type,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,nan
tt0015361,Strike,0.3125,0.09174311926605583,0.31322277,0.7215477,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0015400,The Thief of Bagdad,0.34375,0.08256880733944882,0.4077983,0.49640256,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0015532,The Adventures of Prince Achmed,0.375,0.10091743119265928,0.38045207,0.71550006,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0015624,The Big Parade,0.40625,0.09174311926605583,0.40387818,0.6885433,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
tt0015648,Battleship Potemkin,0.40625,0.09174311926605583,0.62898904,0.47158325,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0015841,The Freshman,0.28125,0.09174311926605583,0.08848342,0.5532921,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0015863,Go West,0.15625,0.09174311926605583,0.15952185,0.7934935,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0015864,The Gold Rush,0.46875,0.09174311926605583,0.61950624,0.22135639,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0015881,Greed,0.4375,0.08256880733944882,0.15063357,0.59607387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
tt0016039,The Lost World,0.09375000000000044,0.09174311926605583,0.104961604,0.5114132,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0016220,The Phantom of the Opera,0.28125,0.09174311926605583,0.13311648,0.58404994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0016332,Seven Chances,0.375,0.09174311926605583,0.55761075,0.087397665,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0016641,Ben-Hur: A Tale of the Christ,0.375,0.09174311926605583,0.40753925,0.49818653,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0016847,Faust,0.46875,0.10091743119265928,0.52302504,0.5137538,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0017075,The Lodger: A Story of the London Fog,0.21875,0.11009174311926628,0.3947323,0.50018096,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0017136,Metropolis,0.53125,0.11009174311926628,0.6654159,0.545707,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0017765,College,0.09375000000000044,0.11009174311926628,0.40824378,0.49306312,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0017925,The General,0.46875,0.10091743119265928,0.5621678,0.08332002,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0018192,Napoleon,0.49999999999999956,0.11009174311926628,0.25553107,0.35006788,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0018217,October (Ten Days that Shook the World),0.25,0.11009174311926628,0.18437079,0.75637954,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0018455,Sunrise,0.46875,0.11009174311926628,0.71928453,0.5653409,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0018528,The Unknown,0.34375,0.11009174311926628,0.7121731,0.59291625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0018578,Wings,0.28125,0.11009174311926628,0.4684589,0.55048525,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0018737,Pandora's Box,0.34375,0.12844036697247674,0.5429328,0.7588234,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0018742,The Cameraman,0.4375,0.11926605504587329,0.20192114,0.87405777,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0018773,The Circus,0.46875,0.11926605504587329,0.5224215,0.30839568,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0018806,The Crowd,0.46875,0.11926605504587329,0.2680866,0.8796655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0018839,The Docks of New York,0.28125,0.11926605504587329,0.47467554,0.5545013,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0019130,The Man Who Laughs,0.3125,0.11926605504587329,0.4746788,0.55450386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0019254,The Passion of Joan of Arc,0.46875,0.11926605504587329,0.25827742,0.3459887,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0019421,"Steamboat Bill, Jr.",0.375,0.11926605504587329,0.40805078,0.49438176,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0019585,The Wind,0.4375,0.11926605504587329,0.711589,0.15918994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
tt0019702,Blackmail,0.09375000000000044,0.12844036697247674,0.63571423,0.44846928,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt0019760,Man with a Movie Camera,0.53125,0.12844036697247674,0.08587971,0.92818034,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0019777,The Cocoanuts,0.0625,0.12844036697247674,0.7121706,0.5928101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tt0020629,All Quiet on the Western Front,0.46875,0.13761467889908374,0.74374723,0.2737368,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0020640,Animal Crackers,0.25,0.13761467889908374,0.71217114,0.59280914,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0020697,The Blue Angel,0.34375,0.13761467889908374,0.16228437,0.62375146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0020960,Hell's Angels,0.21875,0.13761467889908374,0.4038818,0.6885485,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0021079,Little Caesar,0.1875,0.1467889908256872,0.23744445,0.5230164,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021156,Morocco,0.125,0.13761467889908374,0.6942589,0.1396243,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0021331,The Blood of a Poet,0.1875,0.1559633027522942,0.22577943,0.80242026,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021571,Earth,0.1875,0.13761467889908374,0.11303198,0.7050284,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021577,L'âge d'or,0.1875,0.13761467889908374,0.22894138,0.7768314,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021739,The Bitch,0.28125,0.1467889908256872,0.29904807,0.812757,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0021749,City Lights,0.59375,0.1467889908256872,0.6227879,0.21597776,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0021814,Dracula,0.25,0.1467889908256872,0.6721496,0.088656664,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021815,Drácula,0.125,0.1467889908256872,0.17776066,0.6776569,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021884,Frankenstein,0.375,0.1467889908256872,0.6766346,0.09129506,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0022100,M,0.53125,0.1467889908256872,0.74644136,0.1894345,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt0022158,Monkey Business,0.25,0.1467889908256872,0.7121682,0.59292006,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0022286,The Public Enemy,0.3125,0.1467889908256872,0.48583132,0.6423693,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022458,Tabu: A Story of the South Seas,0.25,0.1467889908256872,0.72126126,0.5664367,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0022599,Freedom for Us,0.25,0.1467889908256872,0.22075737,0.71255577,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0022698,Blonde Venus,0.15625,0.1559633027522942,0.08635232,0.9249096,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022718,Boudu Saved from Drowning,0.1875,0.1559633027522942,0.25970912,0.94276315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022835,Dr. Jekyll and Mr. Hyde,0.3125,0.1467889908256872,0.19304284,0.6561749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0022913,Freaks,0.375,0.1559633027522942,0.46935225,0.55109096,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022958,Grand Hotel,0.21875,0.1559633027522942,0.4766849,0.4267865,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
