id,voteCount,country,language,kw1,kw2,kw3,r_cast1,r_cast2,r_crew1,r_crew2,rating,year,type,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
tt0006206,0.0002036525906071306,0.3076923076923077,1.0,0.20294423213021057,-0.1062199566207073,-0.07127552230549504,0.0006913233027625648,-0.007390608610488356,-0.0041436830414165226,-0.002580627459296659,0.21875,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0006864,0.004077038486020728,0.9230769230769231,0.1875,0.14394787678373905,-0.048235148193028585,-0.00461103170698644,0.001068785990375206,-0.010254443982511036,-0.0044209292877884655,-0.002817128433212281,0.34375,0.009174311926607,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0009968,0.002113933823871406,0.9230769230769231,0.1875,0.18339236406950732,-0.013789339302113344,0.02197242802615261,0.001983576170411338,-0.016020467483771245,-0.0044209292877883,-0.002817128433208163,0.1875,0.0366972477064209,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0010323,0.022580188622830087,0.23076923076923078,0.15625,0.21208341889095544,-0.09694959781604362,-0.1192002154432088,0.0004163064753138732,-0.008621256997674543,-0.004143683042263202,-0.0025806274557694767,0.4375,0.0458715596330279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0078788,0.24288013267650665,0.9230769230769231,0.1875,0.1827445781668496,-0.01453908105872728,-0.10417241009679397,-0.07823354323997211,0.07588606286359671,-0.005248453796471446,-0.003625531627682935,0.5625,0.5871559633027523,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
tt0078813,0.00011993243916667883,0.3076923076923077,0.26041666666666663,0.20841150378296533,-0.019263583502290335,0.06975179649844832,0.0009306106337958833,-0.010830109022799768,-0.004416884014003604,-0.0028124994692788376,0.0,0.5963302752293593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078841,0.02491903729799191,0.9230769230769231,0.1875,0.2185790941232989,-0.04084713911951908,0.018108970173777474,-0.021779073742267948,-0.01606165765211925,-0.0045218163532628666,-0.0029059210326086698,0.40625,0.5871559633027523,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078872,0.0031813657547371654,0.9230769230769231,0.1875,0.2160136704816299,-0.05556675493916481,0.06876911839379429,-0.0025637964171922544,-0.007105723340555667,-0.0044209254500928346,-0.0028172532145641018,0.25,0.5871559633027523,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0078875,0.007212225268336373,0.9670329670329672,0.15625,0.24221771762273894,0.010487169975506442,0.0066057337454822965,0.0007858023031521313,-0.00856949152308138,-0.004328384493260786,-0.002738155573401837,0.25,0.5871559633027523,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0078902,0.007102923959511339,0.9230769230769231,0.1875,0.21527150363314856,0.01745285050534639,0.07987191407777804,-0.048385940424352465,0.02554218644466369,-0.00462746031737875,-0.0029986929197431157,0.34375,0.5871559633027523,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0078907,0.0015092882856903658,0.3076923076923077,0.26041666666666663,0.10992512316857368,-0.021664511923402022,0.061357175004922916,0.0011442071811006893,-0.007813516871021373,-0.005105001974924948,-0.003435371620089786,0.25,0.5871559633027523,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078908,0.010293591953297444,0.13186813186813187,0.1875,0.3374225352444364,-0.09674232396457531,-0.05959666790082938,-0.0005615553350693116,-0.009119841129055657,0.14455603540696071,-0.0009878615123606262,0.0625,0.5871559633027523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0078913,0.0006176022282849195,0.3076923076923077,0.26041666666666663,0.2351375023479649,-0.10301388791872979,-0.07188970614565382,-0.0015957293621278225,0.028819210109170136,-0.0042321435035677455,-0.0026549226711434504,0.1875,0.5871559633027523,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0078950,0.001508623840044013,0.9230769230769231,0.1875,0.25290164413129157,-0.006196494427223842,0.07160214770343884,-0.04640912926504211,0.03364332717916523,-0.004737881790751768,-0.003105900195595021,0.0625,0.5871559633027523,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0078966,0.0097298098223671,0.9230769230769231,0.1875,0.14771401178742227,-0.09941630629407133,-0.06435250211102891,-0.04188622135596148,0.01841921199181014,-0.004232143688594899,-0.002654922462079166,0.25,0.5871559633027523,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0079095,0.0034674096054920413,0.9670329670329672,0.15625,0.319954967470545,0.03465398401372683,-0.014770118508200494,0.0008155589496944813,-0.00837781207683686,-0.004856026896135564,-0.0032182235568852515,0.34375,0.5871559633027523,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0079116,0.04939389268139698,0.9230769230769231,0.1875,0.23279541507130425,-0.001734761556061169,-0.06675201834461311,-0.019120980529518026,0.010304322007787027,-0.005266891852384936,-0.004079556889282953,0.3125,0.5871559633027523,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079182,0.0008498259816852201,0.4945054945054945,0.41666666666666663,0.37449794901313005,0.1679338042091357,-0.14539958815862428,-0.00034505021563053563,-0.008902471752097097,0.014031484377767819,-0.002390365258161507,0.34375,0.5871559633027523,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079221,0.005378355284402669,0.4285714285714286,0.32291666666666663,0.20212815721597197,-0.05263107886370562,0.07942277148763965,0.006158327187240005,-0.005817930000772265,-0.004324471329585161,-0.002733643007309933,0.59375,0.5871559633027523,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0079239,0.0007302257653417179,0.9230769230769231,0.1875,0.2309648290816101,-0.01695644012285523,0.05580777468177657,-0.052715551770271867,0.05685858075174025,-0.004143683040935561,-0.002580627454214831,0.15625,0.5871559633027523,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079240,0.005123208156203198,0.3186813186813187,0.1875,0.2323096182352348,-0.10015306824129191,-0.041059593793814096,-0.03690383315259528,0.0231250893631958,-0.00442093379446832,-0.002817167571203022,0.0937500000000004,0.5779816513761489,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079261,0.012405864663052968,0.9670329670329672,0.1875,0.23614255232902603,0.004528412469593853,-0.030638365450490652,-0.015935287791642553,0.03962404524281668,-0.005106633217414044,-0.0034761380356193674,0.28125,0.5871559633027523,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0079271,0.0034481406817478107,0.9230769230769231,0.1875,0.2527355865137876,0.07524081881481742,-0.1252071653966901,-0.002571759643609211,-0.011486318834650877,-0.004738155156173137,-0.0031049809086950734,0.15625,0.5871559633027523,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079315,0.00021793817200371573,0.3626373626373627,0.96875,0.13781293081850354,-0.07497171878739572,-0.03767159340757539,0.008538173144471566,-0.04403724807859745,-0.005439590005046165,-0.0036870579919740278,0.0,0.5871559633027523,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079336,0.001813604391719944,0.9230769230769231,0.1875,0.2943300113575342,-0.14826902028946737,0.1325645135325334,-0.017977753829207684,-0.002889818166411957,-0.004737793667098117,-0.0031036036576729885,0.21875,0.5871559633027523,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079351,0.001575732850325645,0.46153846153846156,0.3958333333333333,0.14949746452017876,-0.06782161117621846,-0.015644510635532977,0.006010296957750664,-0.01224496799588716,-0.004143683041086321,-0.0025806274552179972,0.0,0.5871559633027523,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079367,0.020271240001754134,0.9230769230769231,0.1875,0.2564213295198875,-0.003923616518082513,0.00825933206704445,-0.00473481841576929,-0.008728288332360647,-0.004627400747559925,-0.0030007181821721535,0.15625,0.5871559633027523,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
